date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
2007-10-15,Gaza Strip,Gaza,Gaza,31.50607681274414,34.462745666503906,oil and fats,Oil (olive),KG,actual,Retail,ILS,25.0,6.2035
2007-11-15,Gaza Strip,Gaza,Gaza,31.50607681274414,34.462745666503906,cereals and tubers,Bread,KG,actual,Retail,ILS,2.58,0.6565
2007-11-15,Gaza Strip,Gaza,Gaza,31.50607681274414,34.462745666503906,cereals and tubers,Rice (long grain),KG,actual,Retail,ILS,14.0,3.5623
2007-11-15,Gaza Strip,Gaza,Gaza,31.50607681274414,34.462745666503906,cereals and tubers,"Rice (short grain, low quality, local)",KG,actual,Retail,ILS,5.0,1.2723
2007-11-15,Gaza Strip,Gaza,Gaza,31.50607681274414,34.462745666503906,cereals and tubers,Semolina,KG,actual,Retail,ILS,3.58,0.9109
2007-11-15,Gaza Strip,Gaza,Gaza,31.50607681274414,34.462745666503906,cereals and tubers,Wheat,KG,actual,Retail,ILS,2.5,0.6361
2007-11-15,Gaza Strip,Gaza,Gaza,31.50607681274414,34.462745666503906,cereals and tubers,Wheat flour,KG,actual,Retail,ILS,5.0,1.2723
2007-11-15,Gaza Strip,Gaza,Gaza,31.50607681274414,34.462745666503906,"meat, fish and eggs",Meat (chicken),KG,actual,Retail,ILS,11.75,2.9898
2007-11-15,Gaza Strip,Gaza,Gaza,31.50607681274414,34.462745666503906,milk and dairy,Milk (pasteurized),L,actual,Retail,ILS,7.0,1.7812
2007-11-15,Gaza Strip,Gaza,Gaza,31.50607681274414,34.462745666503906,miscellaneous food,Sugar (white),KG,actual,Retail,ILS,4.0,1.0178
2007-11-15,Gaza Strip,Gaza,Gaza,31.50607681274414,34.462745666503906,oil and fats,Oil (olive),KG,actual,Retail,ILS,25.33,6.4453
