year,ISO3,ADM0_EN,ADM0_PCODE,ADM1_EN,ADM1_VI,ADM1_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
2024,VNM,Viet Nam,VN,Tay Ninh,Tây Ninh,VN709,581659,584460,1166124,29621,34762,41543,40335,33107,32325,46833,51255,47946,43227,41890,40183,33586,26308,17399,8653,12686,32629,37779,45622,43737,37021,35975,50042,55336,50564,44487,41173,37552,28271,19205,12796,5465,6806,62250,72541,87165,84072,70129,68301,96876,106591,98510,87714,83063,77735,61857,45513,30196,14118,19493
2024,VNM,Viet Nam,VN,Thai Binh,Thái Bình,VN115,962652,922891,1885543,61594,65589,69443,59337,50540,47549,60020,63319,63851,62408,64094,60433,68613,58021,41797,25381,40663,70438,72421,75588,63835,52931,49721,62776,64025,62207,58383,58931,53833,57613,47946,31270,19098,21875,132032,138010,145031,123172,103471,97270,122796,127344,126058,120791,123025,114266,126226,105967,73067,44479,62538
2024,VNM,Viet Nam,VN,Thai Nguyen,Thái Nguyên,VN215,695946,671353,1367299,53007,53264,55181,42831,42312,51763,60180,57315,49458,43749,38949,37566,36468,27978,18374,11050,16501,59666,58553,59917,45037,43051,44286,54209,55833,50769,43872,36784,34127,32290,23589,13292,7212,8866,112673,111817,115098,87868,85363,96049,114389,113148,100227,87621,75733,71693,68758,51567,31666,18262,25367
2024,VNM,Viet Nam,VN,Thanh Hoa,Thanh Hóa,VN401,1856213,1868813,3725026,136867,153498,151317,114241,96646,97686,149322,136628,123355,110522,113513,109772,116772,84541,62316,38309,60908,148976,170997,166464,123497,105150,112002,174132,157194,130512,107389,106904,96567,96060,72101,45417,26183,29268,285843,324495,317781,237738,201796,209688,323454,293822,253867,217911,220417,206339,212832,156642,107733,64492,90176
2024,VNM,Viet Nam,VN,Thua Thien Hue,Thừa Thiên Huế,VN411,578107,566862,1144969,40189,44323,43854,41886,43839,45448,42531,37772,34737,33479,36807,34754,27316,24213,16175,10897,19887,43722,47376,47245,43065,41232,43542,44963,39882,36396,34803,37094,33331,23856,19566,12571,7179,11039,83911,91699,91099,84951,85071,88990,87494,77654,71133,68282,73901,68085,51172,43779,28746,18076,30926
2024,VNM,Viet Nam,VN,Tien Giang,Tiền Giang,VN807,915521,883935,1799456,50533,51497,61018,62373,55194,46555,61757,69859,73238,67092,67238,69334,56072,45859,32122,18139,27641,53663,55014,65064,66551,57734,47909,61532,70747,72199,68968,67879,68367,48477,31794,23254,11450,13333,104196,106511,126082,128924,112928,94464,123289,140606,145437,136060,135117,137701,104549,77653,55376,29589,40974
2024,VNM,Viet Nam,VN,Tra Vinh,Trà Vinh,VN817,510585,500251,1010836,29524,33963,40566,36228,29090,23765,33117,39563,41935,37588,32421,33318,30583,26650,19211,9668,13395,31587,36128,43481,38637,31663,24953,33670,41210,44169,38868,32569,30921,26277,19676,14364,5822,6256,61111,70091,84047,74865,60753,48718,66787,80773,86104,76456,64990,64239,56860,46326,33575,15490,19651
2024,VNM,Viet Nam,VN,Tuyen Quang,Tuyên Quang,VN211,396764,406824,803588,26395,34889,38793,29641,21527,18056,28887,30561,29008,27686,24937,23793,21128,15612,9634,6853,9364,29654,38475,41638,31165,23884,20951,32250,35386,31687,28006,24976,22310,18364,12507,6992,4109,4470,56049,73364,80431,60806,45411,39007,61137,65947,60695,55692,49913,46103,39492,28119,16626,10962,13834
2024,VNM,Viet Nam,VN,Vinh Long,Vĩnh Long,VN809,515842,503083,1018925,25808,29096,36517,34946,29182,20322,30788,38592,42372,39326,38115,39731,34720,29798,20908,9824,15797,27365,31588,39043,36939,34151,24970,29676,37518,42385,39859,38347,38579,30471,21352,15752,6864,8224,53173,60684,75560,71885,63333,45292,60464,76110,84757,79185,76462,78310,65191,51150,36660,16688,24021
2024,VNM,Viet Nam,VN,Vinh Phuc,Vĩnh Phúc,VN104,598273,597977,1196250,42917,50093,54212,42396,33629,34597,47189,48827,44351,35977,33251,30454,32496,23984,15400,10262,18238,49036,57758,62455,46477,34300,34097,47124,49718,45706,36029,32178,28083,28138,20226,11249,7004,8399,91953,107851,116667,88873,67929,68694,94313,98545,90057,72006,65429,58537,60634,44210,26649,17266,26637
2024,VNM,Viet Nam,VN,Yen Bai,Yên Bái,VN213,427168,435905,863073,35397,37918,39906,34054,26671,23706,32491,32944,29927,27280,24301,22381,20261,14109,9482,6602,9738,39684,41974,42826,35514,29263,26563,36687,35806,31097,26945,23602,20813,17889,11650,6725,3956,4911,75081,79892,82732,69568,55934,50269,69178,68750,61024,54225,47903,43194,38150,25759,16207,10558,14649
